query_id,reference_id
0056649006c7a250cb4174f1e924768ba2c9d599,0056649006c7a250cb4174f1e924768ba2c9d599
0056649006c7a250cb4174f1e924768ba2c9d599,1357538fd1fd2975a8b3f750d5f6b13695aa4e28
0056649006c7a250cb4174f1e924768ba2c9d599,1f4f6311bb4acc0bc72e4a915a32093a7a85741c
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,1357538fd1fd2975a8b3f750d5f6b13695aa4e28
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,1f4f6311bb4acc0bc72e4a915a32093a7a85741c
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,37a935b4c21662e183a0dd632f40d5fd6900c42b
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,3fe2e54fdb267849aa8aeb0b39ec0d1c7075b391
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,4ffe88b2da93f727952dc3104e70c0b0665d9e1a
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,52ac7a125ee96ff91ca49c197d3a79b6c0857e68
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,54f841cdb1b1a498c656bd541d23c690b70737bd
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,5d38467d3becf8273bd7ae9028a37fcb0cc3828b
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,63407cc775874d569f82a2060c636b785c09a487
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,66e0225621e48946b7ab09027c18c83b69564002
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,72e97f43a27cdb56a82454758c383c1ac82e91b9
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,74018dcbf908a0a0319e889a70a920896b63ed99
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,9026d2a43d0e645901aa9138136bbc1491856ffb
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,97c71f57e83f6ab16906fdd7edc8e3f88d2ceee1
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,a100d2d414f1faa59abdb409e8858d6a4ba96618
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,ab12206048207553294916664d0ebf1cd9e81ef6
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,b34b81ce75ea0773ba04b3f1ddedf3f3fac823fa
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,c4384b8402362a0351d4e1dc9de0c01d7117322f
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,d28c7952b8a60139126446bc81bff5ecebcf5129
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,e4516162efaa2bb36d38fbf245bc41b6fd24f443
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,e6f1dd4881c0088d861763dadd83db04fb353500
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,f9395fd63d7f59cae6103cfb00e116b4a1d0be5e
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,f98075fcebb2596c91cf6886b30a39521cc60855
1357538fd1fd2975a8b3f750d5f6b13695aa4e28,fa0aa890db611cbe029b8c222663579ec7081bb6
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,1f4f6311bb4acc0bc72e4a915a32093a7a85741c
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,37a935b4c21662e183a0dd632f40d5fd6900c42b
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,3fe2e54fdb267849aa8aeb0b39ec0d1c7075b391
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,4ffe88b2da93f727952dc3104e70c0b0665d9e1a
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,52ac7a125ee96ff91ca49c197d3a79b6c0857e68
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,54f841cdb1b1a498c656bd541d23c690b70737bd
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,5d38467d3becf8273bd7ae9028a37fcb0cc3828b
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,63407cc775874d569f82a2060c636b785c09a487
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,66e0225621e48946b7ab09027c18c83b69564002
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,72e97f43a27cdb56a82454758c383c1ac82e91b9
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,74018dcbf908a0a0319e889a70a920896b63ed99
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,9026d2a43d0e645901aa9138136bbc1491856ffb
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,97c71f57e83f6ab16906fdd7edc8e3f88d2ceee1
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,a100d2d414f1faa59abdb409e8858d6a4ba96618
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,ab12206048207553294916664d0ebf1cd9e81ef6
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,b34b81ce75ea0773ba04b3f1ddedf3f3fac823fa
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,c4384b8402362a0351d4e1dc9de0c01d7117322f
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,d28c7952b8a60139126446bc81bff5ecebcf5129
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,e4516162efaa2bb36d38fbf245bc41b6fd24f443
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,e6f1dd4881c0088d861763dadd83db04fb353500
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,f9395fd63d7f59cae6103cfb00e116b4a1d0be5e
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,f98075fcebb2596c91cf6886b30a39521cc60855
1f4f6311bb4acc0bc72e4a915a32093a7a85741c,fa0aa890db611cbe029b8c222663579ec7081bb6
37a935b4c21662e183a0dd632f40d5fd6900c42b,37a935b4c21662e183a0dd632f40d5fd6900c42b
37a935b4c21662e183a0dd632f40d5fd6900c42b,3fe2e54fdb267849aa8aeb0b39ec0d1c7075b391
37a935b4c21662e183a0dd632f40d5fd6900c42b,4ffe88b2da93f727952dc3104e70c0b0665d9e1a
37a935b4c21662e183a0dd632f40d5fd6900c42b,52ac7a125ee96ff91ca49c197d3a79b6c0857e68
37a935b4c21662e183a0dd632f40d5fd6900c42b,54f841cdb1b1a498c656bd541d23c690b70737bd
37a935b4c21662e183a0dd632f40d5fd6900c42b,5d38467d3becf8273bd7ae9028a37fcb0cc3828b
37a935b4c21662e183a0dd632f40d5fd6900c42b,63407cc775874d569f82a2060c636b785c09a487
37a935b4c21662e183a0dd632f40d5fd6900c42b,66e0225621e48946b7ab09027c18c83b69564002
37a935b4c21662e183a0dd632f40d5fd6900c42b,72e97f43a27cdb56a82454758c383c1ac82e91b9
37a935b4c21662e183a0dd632f40d5fd6900c42b,74018dcbf908a0a0319e889a70a920896b63ed99
37a935b4c21662e183a0dd632f40d5fd6900c42b,9026d2a43d0e645901aa9138136bbc1491856ffb
37a935b4c21662e183a0dd632f40d5fd6900c42b,97c71f57e83f6ab16906fdd7edc8e3f88d2ceee1
